Date,Predicted_Close
2024-04-08,955.0316635058596
2024-04-09,957.5695105708845
2024-04-10,958.1035264863707
2024-04-11,959.6408060374572
2024-04-12,958.4705666853108
2024-04-15,959.7729159988786
2024-04-16,958.8298861722196
2024-04-17,959.8149509866037
2024-04-18,959.028663869275
2024-04-19,959.7447292724158
2024-04-22,959.1159814458175
2024-04-23,959.6116389031173
2024-04-24,959.122783025464
2024-04-25,959.4427636463096
2024-04-26,959.0668997764768
2024-04-29,959.2519517632545
2024-04-30,958.9661015916259
2024-05-01,959.0517034543838
2024-05-02,958.8351558645584
2024-05-03,958.8523130024054
2024-05-06,958.6872368261207
2024-05-07,958.6581309672732
2024-05-08,958.5352736051907
2024-05-09,958.4776746424188
2024-05-10,958.3858839549376
2024-05-13,958.3135175985188
2024-05-14,958.2447052206542
2024-05-15,958.1662725904966
2024-05-16,958.114433524002
2024-05-17,958.036491097783
